order,title,id,unitprice,price,excerpt,images,permalink,categories,tagsALL,tags,type,visibility,status,description
p,"PARRILLA Y COMEDOR",,0,500,"Compartí con tu familia o amigos una comida en nuestro espacio aural. Te ofrecemos todo lo necesario para que prepares lo que más te gusta.
",https://www.janus.bio/parador/img/sqrParrilla.jpeg|http://janus.bio/wp-content/uploads/2020/01/ESPACIO-AURAL-IMG_4480.jpg,https://www.almacenjanus.bio/producto/cabin-familiar/,Comidas,,,simple,,draft,


d,"Desayuno",,0,400,"Fruta, Pan, Dulce, Jugo, Chips de Manzana, Infusión.",https://www.almacenjanus.bio/wp-content/uploads/2021/07/272EDB65-993B-4E9E-9851-6C00EFC165E7-100x100.jpeg,https://www.almacenjanus.bio/producto/cabin-familiar/,Comidas,,,simple,,publish,

m,"Merienda",,0,400,"Fruta, Pan, Dulce, Jugo, Chips de Manzana, Infusión.",https://www.almacenjanus.bio/wp-content/uploads/2021/07/272EDB65-993B-4E9E-9851-6C00EFC165E7-100x100.jpeg,https://www.almacenjanus.bio/producto/cabin-familiar/,Comidas,,,simple,,publish,

w,"Wifi",,0,0,"",https://www.janus.bio/parador/img/sqrWifi.jpeg,,Comodidades,,,simple,,publish,"Conexión a internet"

h,"Heladera",,0,0,"",https://www.janus.bio/parador/img/sqrHeladera.jpeg,,Comodidades,,,simple,,publish,

m,"MESAS Y BANCOS",,0,0,"",https://www.janus.bio/parador/img/sqrMesas.jpeg,,Comodidades,,,simple,,publish,

c,"CAMA ELÁSTICA",,0,0,"",https://www.janus.bio/parador/img/sqrCamaElastica.jpeg,,Comodidades,,,simple,,publish,

f,"Fogón",,0,0,"",https://www.janus.bio/parador/img/sqrFogon.jpeg,,Comodidades,,,simple,,publish,

b,"2 BAÑOS completos",,0,0,"",https://www.janus.bio/parador/img/sqrBanio.jpeg,,Comodidades,,,simple,,publish,"cada uno hasta 2 personas en simultáneo"

a,"AGUA CALIENTE",,0,0,"",https://www.janus.bio/parador/img/sqrAguaCaliente.jpeg,,Comodidades,,,simple,,publish,"Las 24 horas. En las canillas y para el mate. "


l,"LAVADERO",,0,0,"",https://www.janus.bio/parador/img/sqrBanio.jpeg,,Comodidades,,,simple,,publish,

p,"Parrillas",,0,0,"",https://www.janus.bio/parador/img/sqrParrilla.jpeg,,Comodidades,,,simple,,publish,

c,"Canal",,0,0,"",https://www.janus.bio/parador/img/sqrCanal.jpeg,,Comodidades,,,simple,,publish,

c,"Costa río Neuquén",,0,0,"",https://www.janus.bio/parador/img/sqrCosta.jpeg,,Comodidades,,,simple,,publish,

r,"Rincón de Paz",,0,0,"",https://www.janus.bio/parador/img/sqrRinconDePaz.jpeg,,Comodidades,,,simple,,publish,

h,"Hamacas",,0,0,"",https://www.janus.bio/parador/img/sqrHamaca.jpeg,,Comodidades,,,simple,,publish,

s,"Espacio Aural",,0,0,"",https://www.janus.bio/parador/img/sqrAural.jpeg,,Comodidades,,,simple,,publish,

e,"Estacionamiento",,0,0,"",https://www.janus.bio/parador/img/sqrEstacionamiento.jpeg,,Comodidades,,,simple,,publish,


f,"Fuente",,0,0,"",https://www.janus.bio/parador/img/sqrFuente.jpeg,,Comodidades,,,simple,,publish,

ge,"Grupos educativos",,0,5000|5000|5000|5000|5000|5000|5000|5000|5000|5000|5500|6000|6500|7000|7500|8000|8500|9000|9500|10000,"Se permite el uso del espacio aural. Ideal para talleres o cursos que necesitan de un espacio de cocina, pizarra o proyector.",http://janus.bio/wp-content/uploads/2020/01/ESPACIO-AURAL-IMG_3883.jpg|http://janus.bio/wp-content/uploads/2020/01/ESPACIO-AURAL-IMG_3835.jpg,https://www.almacenjanus.bio/,Visitantes,,,variable,,draft,"Incluye el uso de las facilidades comunes, uso del proyector, las pizarras y de la cocina dentro del espacio aural. Mínimo 10 personas o el costo equivalente."

ga,"Grupos al aire libre",,0,3000|3000|3000|3000|3000|3000|3000|3000|3000|3000|3300|3600|3900|4200|4500|4800|5100|5400|5700|6000,"Se permite el uso de las instalaciones y servicios comunes. ",http://janus.bio/wp-content/uploads/2019/06/JANUS-PASEO-FAMILIAS.jpg,https://www.almacenjanus.bio/,Visitantes,,,variable,,draft,"Mínimo 10 personas o el costo equivalente."
